Parameter Set,n,p,ak,bk,bs,k0,k1,median_duration,median_rise_time
Excitable Config 1,2,4,0.0034866306540961055,0.20552072712617714,0.877616589190378,0.6451606540233775,0.6338347519414762,45.20090401808036,27.040540810816225
Excitable Config 2,4,3,0.006063904875872636,0.21396915842951353,0.9298653978524501,0.4414290950444747,0.5726388835694916,51.6210324206484,28.67057341146821
Excitable Config 3,3,5,0.011945409692137931,0.39830657770661054,0.7913528850600691,0.6667123563590702,0.6577525675622097,74.5014900298006,30.930618612372243
Excitable Config 4,2,5,0.006432129158363143,0.4254908982318928,0.8172281440360002,0.646325453487191,0.4676135082163032,45.315906318126366,21.395427908558155
Excitable Config 5,4,5,0.006568024864120246,0.17975732228228714,0.7806861675300019,0.29788430777891495,0.3588711406869801,24.19048380967621,13.360267205344115
Excitable Config 6,3,5,0.017238715405914228,0.3787393750248915,0.6579217166541761,0.4521035787168859,0.4200454543307485,83.15666313326265,30.670613412268253
Excitable Config 7,4,5,0.038038608767709425,0.32093788081813146,0.68537722190502,0.6008861335479816,0.6921525040523688,43.180863617272394,20.210404208084185
Excitable Config 8,2,3,0.0027393245936423154,0.34227940313005345,0.8445513131389243,0.6679747569777825,0.6078969871188689,53.04106082121643,26.6805336106722
Excitable Config 9,4,5,0.015604176373177233,0.23210598459847942,0.7254175578723258,0.44146102510429336,0.5816507791578129,34.11068221364428,17.840356807136146
Excitable Config 10,5,5,0.006363345396638865,0.2643814968211069,0.8970715305107193,0.5126164016348106,0.6208853777427101,78.5415708314166,37.94075881517631
